modern_text,kjv_text
"I, even I, do bring the flood of waters on this earth, to destroy all flesh having the breath of life from under the sky. Everything that is in the earth will die.","And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die. 
"
"But I will establish my covenant with you. You shall come into the ship, you, your sons, your wife, and your sons’ wives with you.","But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee. 
"
"Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female.","And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female. 
"
"Of the birds after their kind, of the livestock after their kind, of every creeping thing of the ground after its kind, two of every sort will come to you, to keep them alive.","Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive. 
"
"Take with you some of all food that is eaten, and gather it to yourself; and it will be for food for you, and for them.”","And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them. 
"
Thus Noah did. He did all that God commanded him.,"Thus did Noah; according to all that God commanded him, so did he. 
"
"Yahweh said to Noah, “Come with all of your household into the ship, for I have seen your righteousness before me in this generation.","And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation. 
"
"You shall take seven pairs of every clean animal with you, the male and his female. Of the animals that are not clean, take two, the male and his female.","Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female. 
"
"Also of the birds of the sky, seven and seven, male and female, to keep seed alive on the surface of all the earth.","Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth. 
"
"In seven days, I will cause it to rain on the earth for forty days and forty nights. I will destroy every living thing that I have made from the surface of the ground.”","For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth. 
"
Noah did everything that Yahweh commanded him.,"And Noah did according unto all that the LORD commanded him. 
"
