book,chapter,verse,modern_text
Genesis,1,25,"God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good."
Genesis,1,26,"God said, “Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.”"
Genesis,1,27,God created man in his own image. In God’s image he created him; male and female he created them.
Genesis,1,28,"God blessed them. God said to them, “Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.”"
Genesis,1,29,"God said, “Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food."
Genesis,1,30,"To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;” and it was so."
Genesis,1,31,"God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day."
Genesis,2,1,"The heavens, the earth, and all their vast array were finished."
Genesis,2,2,On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done.
Genesis,2,3,"God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done."
Genesis,2,4,"This is the history of the generations of the heavens and of the earth when they were created, in the day that Yahweh God made the earth and the heavens."
Genesis,2,5,"No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Yahweh God had not caused it to rain on the earth. There was not a man to till the ground,"
Genesis,2,6,"but a mist went up from the earth, and watered the whole surface of the ground."
Genesis,2,7,"Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul."
Genesis,2,8,"Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed."
Genesis,2,9,"Out of the ground Yahweh God made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil."
Genesis,2,10,"A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers."
Genesis,2,11,"The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;"
Genesis,2,12,and the gold of that land is good. Bdellium and onyx stone are also there.
Genesis,2,13,The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.
Genesis,2,14,The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates.
Genesis,2,15,"Yahweh God took the man, and put him into the garden of Eden to cultivate and keep it."
Genesis,2,16,"Yahweh God commanded the man, saying, “You may freely eat of every tree of the garden;"
Genesis,2,17,"but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”"
Genesis,2,18,"Yahweh God said, “It is not good for the man to be alone. I will make him a helper comparable to him.”"
Genesis,2,19,"Out of the ground Yahweh God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature became its name."
Genesis,2,20,"The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him."
Genesis,2,21,"Yahweh God caused the man to fall into a deep sleep. As the man slept, he took one of his ribs, and closed up the flesh in its place."
Genesis,2,22,"Yahweh God made a woman from the rib which he had taken from the man, and brought her to the man."
Genesis,2,23,"The man said, “This is now bone of my bones, and flesh of my flesh. She will be called ‘woman,’ because she was taken out of Man.”"
Genesis,2,24,"Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh."
Genesis,2,25,"The man and his wife were both naked, and they were not ashamed."
Genesis,3,1,"Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, “Has God really said, ‘You shall not eat of any tree of the garden?’”"
Genesis,3,2,"The woman said to the serpent, “We may eat fruit from the trees of the garden,"
Genesis,3,3,"but not the fruit of the tree which is in the middle of the garden. God has said, ‘You shall not eat of it. You shall not touch it, lest you die.’”"
Genesis,3,4,"The serpent said to the woman, “You won’t really die,"
Genesis,3,5,"for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.”"
Genesis,3,6,"When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate; and she gave some to her husband with her, and he ate it, too."
Genesis,3,7,"Their eyes were opened, and they both knew that they were naked. They sewed fig leaves together, and made coverings for themselves."
Genesis,3,8,"They heard Yahweh God’s voice walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of Yahweh God among the trees of the garden."
Genesis,3,9,"Yahweh God called to the man, and said to him, “Where are you?”"
Genesis,3,10,"The man said, “I heard your voice in the garden, and I was afraid, because I was naked; and I hid myself.”"
Genesis,3,11,"God said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”"
Genesis,3,12,"The man said, “The woman whom you gave to be with me, she gave me fruit from the tree, and I ate it.”"
Genesis,3,13,"Yahweh God said to the woman, “What have you done?” The woman said, “The serpent deceived me, and I ate.”"
Genesis,3,14,"Yahweh God said to the serpent, “Because you have done this, you are cursed above all livestock, and above every animal of the field. You shall go on your belly and you shall eat dust all the days of your life."
Genesis,3,15,"I will put hostility between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.”"
Genesis,3,16,"To the woman he said, “I will greatly multiply your pain in childbirth. In pain you will bear children. Your desire will be for your husband, and he will rule over you.”"
Genesis,3,17,"To Adam he said, “Because you have listened to your wife’s voice, and ate from the tree, about which I commanded you, saying, ‘You shall not eat of it,’ the ground is cursed for your sake. You will eat from it with much labor all the days of your life."
Genesis,3,18,It will yield thorns and thistles to you; and you will eat the herb of the field.
Genesis,3,19,"By the sweat of your face will you eat bread until you return to the ground, for out of it you were taken. For you are dust, and to dust you shall return.”"
Genesis,3,20,The man called his wife Eve because she would be the mother of all the living.
Genesis,3,21,"Yahweh God made coats of animal skins for Adam and for his wife, and clothed them."
Genesis,3,22,"Yahweh God said, “Behold, the man has become like one of us, knowing good and evil. Now, lest he reach out his hand, and also take of the tree of life, and eat, and live forever—”"
Genesis,3,23,"Therefore Yahweh God sent him out from the garden of Eden, to till the ground from which he was taken."
Genesis,3,24,"So he drove out the man; and he placed cherubim at the east of the garden of Eden, and a flaming sword which turned every way, to guard the way to the tree of life."
Genesis,4,1,"The man knew Eve his wife. She conceived, and gave birth to Cain, and said, “I have gotten a man with Yahweh’s help.”"
Genesis,4,2,"Again she gave birth, to Cain’s brother Abel. Abel was a keeper of sheep, but Cain was a tiller of the ground."
Genesis,4,3,"As time passed, Cain brought an offering to Yahweh from the fruit of the ground."
Genesis,4,4,"Abel also brought some of the firstborn of his flock and of its fat. Yahweh respected Abel and his offering,"
Genesis,4,5,"but he didn’t respect Cain and his offering. Cain was very angry, and the expression on his face fell."
Genesis,4,6,"Yahweh said to Cain, “Why are you angry? Why has the expression of your face fallen?"
Genesis,4,7,"If you do well, won’t it be lifted up? If you don’t do well, sin crouches at the door. Its desire is for you, but you are to rule over it.”"
Genesis,4,8,"Cain said to Abel, his brother, “Let’s go into the field.” While they were in the field, Cain rose up against Abel, his brother, and killed him."
Genesis,4,9,"Yahweh said to Cain, “Where is Abel, your brother?” He said, “I don’t know. Am I my brother’s keeper?”"
Genesis,4,10,"Yahweh said, “What have you done? The voice of your brother’s blood cries to me from the ground."
Genesis,4,11,"Now you are cursed because of the ground, which has opened its mouth to receive your brother’s blood from your hand."
Genesis,4,12,"From now on, when you till the ground, it won’t yield its strength to you. You will be a fugitive and a wanderer in the earth.”"
Genesis,4,13,"Cain said to Yahweh, “My punishment is greater than I can bear."
Genesis,4,14,"Behold, you have driven me out today from the surface of the ground. I will be hidden from your face, and I will be a fugitive and a wanderer in the earth. Whoever finds me will kill me.”"
Genesis,4,15,"Yahweh said to him, “Therefore whoever slays Cain, vengeance will be taken on him sevenfold.” Yahweh appointed a sign for Cain, so that anyone finding him would not strike him."
Genesis,4,16,"Cain left Yahweh’s presence, and lived in the land of Nod, east of Eden."
Genesis,4,17,"Cain knew his wife. She conceived, and gave birth to Enoch. He built a city, and called the name of the city, after the name of his son, Enoch."
Genesis,4,18,To Enoch was born Irad. Irad became the father of Mehujael. Mehujael became the father of Methushael. Methushael became the father of Lamech.
Genesis,4,19,"Lamech took two wives: the name of the first one was Adah, and the name of the second one was Zillah."
Genesis,4,20,"Adah gave birth to Jabal, who was the father of those who dwell in tents and have livestock."
Genesis,4,21,"His brother’s name was Jubal, who was the father of all who handle the harp and pipe."
Genesis,4,22,"Zillah also gave birth to Tubal Cain, the forger of every cutting instrument of brass and iron. Tubal Cain’s sister was Naamah."
Genesis,4,23,"Lamech said to his wives, “Adah and Zillah, hear my voice. You wives of Lamech, listen to my speech, for I have slain a man for wounding me, a young man for bruising me."
Genesis,4,24,"If Cain will be avenged seven times, truly Lamech seventy-seven times.”"
Genesis,4,25,"Adam knew his wife again. She gave birth to a son, and named him Seth, saying, “for God has given me another child instead of Abel, for Cain killed him.”"
Genesis,4,26,"A son was also born to Seth, and he named him Enosh. At that time men began to call on Yahweh’s name."
Genesis,5,1,"This is the book of the generations of Adam. In the day that God created man, he made him in God’s likeness."
Genesis,5,2,"He created them male and female, and blessed them. On the day they were created, he named them “Adam”."
Genesis,5,3,"Adam lived one hundred thirty years, and became the father of a son in his own likeness, after his image, and named him Seth."
Genesis,5,4,"The days of Adam after he became the father of Seth were eight hundred years, and he became the father of other sons and daughters."
Genesis,5,5,"All the days that Adam lived were nine hundred thirty years, then he died."
Genesis,5,6,"Seth lived one hundred five years, then became the father of Enosh."
Genesis,5,7,"Seth lived after he became the father of Enosh eight hundred seven years, and became the father of other sons and daughters."
Genesis,5,8,"All of the days of Seth were nine hundred twelve years, then he died."
Genesis,5,9,"Enosh lived ninety years, and became the father of Kenan."
Genesis,5,10,"Enosh lived after he became the father of Kenan, eight hundred fifteen years, and became the father of other sons and daughters."
Genesis,5,11,"All of the days of Enosh were nine hundred five years, then he died."
Genesis,5,12,"Kenan lived seventy years, then became the father of Mahalalel."
Genesis,5,13,"Kenan lived after he became the father of Mahalalel eight hundred forty years, and became the father of other sons and daughters"
Genesis,5,14,"and all of the days of Kenan were nine hundred ten years, then he died."
Genesis,5,15,"Mahalalel lived sixty-five years, then became the father of Jared."
Genesis,5,16,"Mahalalel lived after he became the father of Jared eight hundred thirty years, and became the father of other sons and daughters."
Genesis,5,17,"All of the days of Mahalalel were eight hundred ninety-five years, then he died."
Genesis,5,18,"Jared lived one hundred sixty-two years, then became the father of Enoch."
Genesis,5,19,"Jared lived after he became the father of Enoch eight hundred years, and became the father of other sons and daughters."
Genesis,5,20,"All of the days of Jared were nine hundred sixty-two years, then he died."
Genesis,5,21,"Enoch lived sixty-five years, then became the father of Methuselah."
Genesis,5,22,"After Methuselah’s birth, Enoch walked with God for three hundred years, and became the father of more sons and daughters."
Genesis,5,23,All the days of Enoch were three hundred sixty-five years.
Genesis,5,24,"Enoch walked with God, and he was not found, for God took him."
Genesis,5,25,"Methuselah lived one hundred eighty-seven years, then became the father of Lamech."
Genesis,5,26,"Methuselah lived after he became the father of Lamech seven hundred eighty-two years, and became the father of other sons and daughters."
Genesis,5,27,"All the days of Methuselah were nine hundred sixty-nine years, then he died."
Genesis,5,28,"Lamech lived one hundred eighty-two years, then became the father of a son."
Genesis,5,29,"He named him Noah, saying, “This one will comfort us in our work and in the toil of our hands, caused by the ground which Yahweh has cursed.”"
Genesis,5,30,"Lamech lived after he became the father of Noah five hundred ninety-five years, and became the father of other sons and daughters."
Genesis,5,31,"All the days of Lamech were seven hundred seventy-seven years, then he died."
Genesis,5,32,"Noah was five hundred years old, then Noah became the father of Shem, Ham, and Japheth."
Genesis,6,1,"When men began to multiply on the surface of the ground, and daughters were born to them,"
Genesis,6,2,"God’s sons saw that men’s daughters were beautiful, and they took any that they wanted for themselves as wives."
Genesis,6,3,"Yahweh said, “My Spirit will not strive with man forever, because he also is flesh; so his days will be one hundred twenty years.”"
Genesis,6,4,"The Nephilim were in the earth in those days, and also after that, when God’s sons came in to men’s daughters and had children with them. Those were the mighty men who were of old, men of renown."
Genesis,6,5,"Yahweh saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of man’s heart was continually only evil."
Genesis,6,6,"Yahweh was sorry that he had made man on the earth, and it grieved him in his heart."
Genesis,6,7,"Yahweh said, “I will destroy man whom I have created from the surface of the ground—man, along with animals, creeping things, and birds of the sky—for I am sorry that I have made them.”"
Genesis,6,8,But Noah found favor in Yahweh’s eyes.
Genesis,6,9,"This is the history of the generations of Noah: Noah was a righteous man, blameless among the people of his time. Noah walked with God."
Genesis,6,10,"Noah became the father of three sons: Shem, Ham, and Japheth."
Genesis,6,11,"The earth was corrupt before God, and the earth was filled with violence."
Genesis,6,12,"God saw the earth, and saw that it was corrupt, for all flesh had corrupted their way on the earth."
Genesis,6,13,"God said to Noah, “I will bring an end to all flesh, for the earth is filled with violence through them. Behold, I will destroy them and the earth."
Genesis,6,14,"Make a ship of gopher wood. You shall make rooms in the ship, and shall seal it inside and outside with pitch."
Genesis,6,15,"This is how you shall make it. The length of the ship shall be three hundred cubits, its width fifty cubits, and its height thirty cubits."
Genesis,6,16,"You shall make a roof in the ship, and you shall finish it to a cubit upward. You shall set the door of the ship in its side. You shall make it with lower, second, and third levels."
Genesis,6,17,"I, even I, do bring the flood of waters on this earth, to destroy all flesh having the breath of life from under the sky. Everything that is in the earth will die."
Genesis,6,18,"But I will establish my covenant with you. You shall come into the ship, you, your sons, your wife, and your sons’ wives with you."
Genesis,6,19,"Of every living thing of all flesh, you shall bring two of every sort into the ship, to keep them alive with you. They shall be male and female."
Genesis,6,20,"Of the birds after their kind, of the livestock after their kind, of every creeping thing of the ground after its kind, two of every sort will come to you, to keep them alive."
Genesis,6,21,"Take with you some of all food that is eaten, and gather it to yourself; and it will be for food for you, and for them.”"
Genesis,6,22,Thus Noah did. He did all that God commanded him.
Genesis,7,1,"Yahweh said to Noah, “Come with all of your household into the ship, for I have seen your righteousness before me in this generation."
Genesis,7,2,"You shall take seven pairs of every clean animal with you, the male and his female. Of the animals that are not clean, take two, the male and his female."
Genesis,7,3,"Also of the birds of the sky, seven and seven, male and female, to keep seed alive on the surface of all the earth."
Genesis,7,4,"In seven days, I will cause it to rain on the earth for forty days and forty nights. I will destroy every living thing that I have made from the surface of the ground.”"
Genesis,7,5,Noah did everything that Yahweh commanded him.
Genesis,7,6,Noah was six hundred years old when the flood of waters came on the earth.
Genesis,7,7,"Noah went into the ship with his sons, his wife, and his sons’ wives, because of the floodwaters."
Genesis,7,8,"Clean animals, unclean animals, birds, and everything that creeps on the ground"
Genesis,7,9,"went by pairs to Noah into the ship, male and female, as God commanded Noah."
Genesis,7,10,"After the seven days, the floodwaters came on the earth."
Genesis,7,11,"In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month, on the same day all the fountains of the great deep burst open, and the sky’s windows opened."
Genesis,7,12,It rained on the earth forty days and forty nights.
Genesis,7,13,"In the same day Noah, and Shem, Ham, and Japheth—the sons of Noah—and Noah’s wife and the three wives of his sons with them, entered into the ship—"
Genesis,7,14,"they, and every animal after its kind, all the livestock after their kind, every creeping thing that creeps on the earth after its kind, and every bird after its kind, every bird of every sort."
Genesis,7,15,Pairs from all flesh with the breath of life in them went into the ship to Noah.
Genesis,7,16,"Those who went in, went in male and female of all flesh, as God commanded him; then Yahweh shut him in."
Genesis,7,17,"The flood was forty days on the earth. The waters increased, and lifted up the ship, and it was lifted up above the earth."
Genesis,7,18,"The waters rose, and increased greatly on the earth; and the ship floated on the surface of the waters."
Genesis,7,19,The waters rose very high on the earth. All the high mountains that were under the whole sky were covered.
Genesis,7,20,"The waters rose fifteen cubits higher, and the mountains were covered."
Genesis,7,21,"All flesh died that moved on the earth, including birds, livestock, animals, every creeping thing that creeps on the earth, and every man."
Genesis,7,22,"All on the dry land, in whose nostrils was the breath of the spirit of life, died."
Genesis,7,23,"Every living thing was destroyed that was on the surface of the ground, including man, livestock, creeping things, and birds of the sky. They were destroyed from the earth. Only Noah was left, and those who were with him in the ship."
Genesis,7,24,The waters flooded the earth one hundred fifty days.
Genesis,8,1,"God remembered Noah, all the animals, and all the livestock that were with him in the ship; and God made a wind to pass over the earth. The waters subsided."
Genesis,8,2,"The deep’s fountains and the sky’s windows were also stopped, and the rain from the sky was restrained."
Genesis,8,3,The waters continually receded from the earth. After the end of one hundred fifty days the waters decreased.
Genesis,8,4,"The ship rested in the seventh month, on the seventeenth day of the month, on Ararat’s mountains."
Genesis,8,5,"The waters receded continually until the tenth month. In the tenth month, on the first day of the month, the tops of the mountains were visible."
Genesis,8,6,"At the end of forty days, Noah opened the window of the ship which he had made,"
Genesis,8,7,"and he sent out a raven. It went back and forth, until the waters were dried up from the earth."
Genesis,8,8,"He himself sent out a dove to see if the waters were abated from the surface of the ground,"
Genesis,8,9,"but the dove found no place to rest her foot, and she returned into the ship to him, for the waters were on the surface of the whole earth. He put out his hand, and took her, and brought her to him into the ship."
Genesis,8,10,He waited yet another seven days; and again he sent the dove out of the ship.
Genesis,8,11,"The dove came back to him at evening and, behold, in her mouth was a freshly plucked olive leaf. So Noah knew that the waters were abated from the earth."
Genesis,8,12,"He waited yet another seven days, and sent out the dove; and she didn’t return to him anymore."
Genesis,8,13,"In the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth. Noah removed the covering of the ship, and looked. He saw that the surface of the ground was dried."
Genesis,8,14,"In the second month, on the twenty-seventh day of the month, the earth was dry."
Genesis,8,15,"God spoke to Noah, saying,"
Genesis,8,16,"“Go out of the ship, you, your wife, your sons, and your sons’ wives with you."
Genesis,8,17,"Bring out with you every living thing that is with you of all flesh, including birds, livestock, and every creeping thing that creeps on the earth, that they may breed abundantly in the earth, and be fruitful, and multiply on the earth.”"
Genesis,8,18,"Noah went out, with his sons, his wife, and his sons’ wives with him."
Genesis,8,19,"Every animal, every creeping thing, and every bird, whatever moves on the earth, after their families, went out of the ship."
Genesis,8,20,"Noah built an altar to Yahweh, and took of every clean animal, and of every clean bird, and offered burnt offerings on the altar."
Genesis,8,21,"Yahweh smelled the pleasant aroma. Yahweh said in his heart, “I will not again curse the ground any more for man’s sake because the imagination of man’s heart is evil from his youth. I will never again strike every living thing, as I have done."
Genesis,8,22,"While the earth remains, seed time and harvest, and cold and heat, and summer and winter, and day and night will not cease.”"
Genesis,9,1,"God blessed Noah and his sons, and said to them, “Be fruitful, multiply, and replenish the earth."
Genesis,9,2,"The fear of you and the dread of you will be on every animal of the earth, and on every bird of the sky. Everything that moves along the ground, and all the fish of the sea, are delivered into your hand."
Genesis,9,3,"Every moving thing that lives will be food for you. As I gave you the green herb, I have given everything to you."
Genesis,9,4,"But flesh with its life, that is, its blood, you shall not eat."
Genesis,9,5,"I will surely require your life’s blood. At the hand of every animal I will require it. At the hand of man, even at the hand of every man’s brother, I will require the life of man."
Genesis,9,6,"Whoever sheds man’s blood, his blood will be shed by man, for God made man in his own image."
Genesis,9,7,"Be fruitful and multiply. Increase abundantly in the earth, and multiply in it.”"
Genesis,9,8,"God spoke to Noah and to his sons with him, saying,"
Genesis,9,9,"“As for me, behold, I establish my covenant with you, and with your offspring after you,"
Genesis,9,10,"and with every living creature that is with you: the birds, the livestock, and every animal of the earth with you, of all that go out of the ship, even every animal of the earth."
Genesis,9,11,I will establish my covenant with you: All flesh will not be cut off any more by the waters of the flood. There will never again be a flood to destroy the earth.”
Genesis,9,12,"God said, “This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:"
Genesis,9,13,"I set my rainbow in the cloud, and it will be a sign of a covenant between me and the earth."
Genesis,9,14,"When I bring a cloud over the earth, that the rainbow will be seen in the cloud,"
Genesis,9,15,"I will remember my covenant, which is between me and you and every living creature of all flesh, and the waters will no more become a flood to destroy all flesh."
Genesis,9,16,"The rainbow will be in the cloud. I will look at it, that I may remember the everlasting covenant between God and every living creature of all flesh that is on the earth.”"
Genesis,9,17,"God said to Noah, “This is the token of the covenant which I have established between me and all flesh that is on the earth.”"
Genesis,9,18,"The sons of Noah who went out from the ship were Shem, Ham, and Japheth. Ham is the father of Canaan."
Genesis,9,19,"These three were the sons of Noah, and from these, the whole earth was populated."
Genesis,9,20,"Noah began to be a farmer, and planted a vineyard."
Genesis,9,21,He drank of the wine and got drunk. He was uncovered within his tent.
Genesis,9,22,"Ham, the father of Canaan, saw the nakedness of his father, and told his two brothers outside."
Genesis,9,23,"Shem and Japheth took a garment, and laid it on both their shoulders, went in backwards, and covered the nakedness of their father. Their faces were backwards, and they didn’t see their father’s nakedness."
Genesis,9,24,"Noah awoke from his wine, and knew what his youngest son had done to him."
Genesis,9,25,"He said, “Canaan is cursed. He will be a servant of servants to his brothers.”"
Genesis,9,26,"He said, “Blessed be Yahweh, the God of Shem. Let Canaan be his servant."
Genesis,9,27,May God enlarge Japheth. Let him dwell in the tents of Shem. Let Canaan be his servant.”
Genesis,9,28,Noah lived three hundred fifty years after the flood.
Genesis,9,29,"All the days of Noah were nine hundred fifty years, and then he died."
Genesis,10,1,"Now this is the history of the generations of the sons of Noah and of Shem, Ham, and Japheth. Sons were born to them after the flood."
Genesis,10,2,"The sons of Japheth were: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras."
Genesis,10,3,"The sons of Gomer were: Ashkenaz, Riphath, and Togarmah."
Genesis,10,4,"The sons of Javan were: Elishah, Tarshish, Kittim, and Dodanim."
Genesis,10,5,"Of these were the islands of the nations divided in their lands, everyone after his language, after their families, in their nations."
Genesis,10,6,"The sons of Ham were: Cush, Mizraim, Put, and Canaan."
Genesis,10,7,"The sons of Cush were: Seba, Havilah, Sabtah, Raamah, and Sabteca. The sons of Raamah were: Sheba and Dedan."
Genesis,10,8,Cush became the father of Nimrod. He began to be a mighty one in the earth.
Genesis,10,9,"He was a mighty hunter before Yahweh. Therefore it is said, “like Nimrod, a mighty hunter before Yahweh”."
Genesis,10,10,"The beginning of his kingdom was Babel, Erech, Accad, and Calneh, in the land of Shinar."
Genesis,10,11,"Out of that land he went into Assyria, and built Nineveh, Rehoboth Ir, Calah,"
Genesis,10,12,and Resen between Nineveh and the great city Calah.
Genesis,10,13,"Mizraim became the father of Ludim, Anamim, Lehabim, Naphtuhim,"
Genesis,10,14,"Pathrusim, Casluhim (which the Philistines descended from), and Caphtorim."
Genesis,10,15,"Canaan became the father of Sidon (his firstborn), Heth,"
Genesis,10,16,"the Jebusites, the Amorites, the Girgashites,"
Genesis,10,17,"the Hivites, the Arkites, the Sinites,"
Genesis,10,18,"the Arvadites, the Zemarites, and the Hamathites. Afterward the families of the Canaanites were spread abroad."
Genesis,10,19,"The border of the Canaanites was from Sidon—as you go toward Gerar—to Gaza—as you go toward Sodom, Gomorrah, Admah, and Zeboiim—to Lasha."
Genesis,10,20,"These are the sons of Ham, after their families, according to their languages, in their lands and their nations."
Genesis,10,21,"Children were also born to Shem, the father of all the children of Eber, the elder brother of Japheth."
Genesis,10,22,"The sons of Shem were: Elam, Asshur, Arpachshad, Lud, and Aram."
Genesis,10,23,"The sons of Aram were: Uz, Hul, Gether, and Mash."
Genesis,10,24,Arpachshad became the father of Shelah. Shelah became the father of Eber.
Genesis,10,25,"To Eber were born two sons. The name of the one was Peleg, for in his days the earth was divided. His brother’s name was Joktan."
Genesis,10,26,"Joktan became the father of Almodad, Sheleph, Hazarmaveth, Jerah,"
Genesis,10,27,"Hadoram, Uzal, Diklah,"
Genesis,10,28,"Obal, Abimael, Sheba,"
Genesis,10,29,"Ophir, Havilah, and Jobab. All these were the sons of Joktan."
Genesis,10,30,"Their dwelling extended from Mesha, as you go toward Sephar, the mountain of the east."
Genesis,10,31,"These are the sons of Shem, by their families, according to their languages, lands, and nations."
Genesis,10,32,"These are the families of the sons of Noah, by their generations, according to their nations. The nations divided from these in the earth after the flood."
Genesis,11,1,The whole earth was of one language and of one speech.
Genesis,11,2,"As they traveled from the east, they found a plain in the land of Shinar, and they lived there."
Genesis,11,3,"They said to one another, “Come, let’s make bricks, and burn them thoroughly.” They had brick for stone, and they used tar for mortar."
Genesis,11,4,"They said, “Come, let’s build ourselves a city, and a tower whose top reaches to the sky, and let’s make a name for ourselves, lest we be scattered abroad on the surface of the whole earth.”"
Genesis,11,5,"Yahweh came down to see the city and the tower, which the children of men built."
Genesis,11,6,"Yahweh said, “Behold, they are one people, and they have all one language, and this is what they begin to do. Now nothing will be withheld from them, which they intend to do."
Genesis,11,7,"Come, let’s go down, and there confuse their language, that they may not understand one another’s speech.”"
Genesis,11,8,So Yahweh scattered them abroad from there on the surface of all the earth. They stopped building the city.
Genesis,11,9,"Therefore its name was called Babel, because there Yahweh confused the language of all the earth. From there, Yahweh scattered them abroad on the surface of all the earth."
Genesis,11,10,This is the history of the generations of Shem: Shem was one hundred years old when he became the father of Arpachshad two years after the flood.
Genesis,11,11,"Shem lived five hundred years after he became the father of Arpachshad, and became the father of more sons and daughters."
Genesis,11,12,Arpachshad lived thirty-five years and became the father of Shelah.
Genesis,11,13,"Arpachshad lived four hundred three years after he became the father of Shelah, and became the father of more sons and daughters."
Genesis,11,14,"Shelah lived thirty years, and became the father of Eber."
Genesis,11,15,"Shelah lived four hundred three years after he became the father of Eber, and became the father of more sons and daughters."
Genesis,11,16,"Eber lived thirty-four years, and became the father of Peleg."
Genesis,11,17,"Eber lived four hundred thirty years after he became the father of Peleg, and became the father of more sons and daughters."
Genesis,11,18,"Peleg lived thirty years, and became the father of Reu."
Genesis,11,19,"Peleg lived two hundred nine years after he became the father of Reu, and became the father of more sons and daughters."
Genesis,11,20,"Reu lived thirty-two years, and became the father of Serug."
Genesis,11,21,"Reu lived two hundred seven years after he became the father of Serug, and became the father of more sons and daughters."
Genesis,11,22,"Serug lived thirty years, and became the father of Nahor."
Genesis,11,23,"Serug lived two hundred years after he became the father of Nahor, and became the father of more sons and daughters."
